sig,m,avcol,chi
E???,0,3.3201970443349755,1
E??G,1,3.4635761589403975,2
E@?G,2,3.587719298245614,2
E??W,2,3.587719298245614,2
E?D_,3,3.7011494252873565,2
E??w,3,3.7011494252873565,2
E?GW,3,3.7011494252873565,2
E`?G,3,3.7011494252873565,2
E?CW,3,3.831168831168831,3
E@GW,4,3.742857142857143,2
E?F_,4,3.8059701492537314,2
E?@w,4,3.8059701492537314,2
E?So,4,3.8059701492537314,2
E_GW,4,3.8059701492537314,2
E?d_,4,3.8059701492537314,2
E?Dg,4,3.8059701492537314,2
EGCW,4,3.9166666666666665,3
E?Cw,4,3.9166666666666665,3
E`GW,5,3.8518518518518516,2
E?Lo,5,3.8518518518518516,2
E?dg,5,3.9038461538461537,2
E?Bw,5,3.9038461538461537,2
E?NO,5,3.9038461538461537,2
E@hO,5,3.9038461538461537,2
EAIW,5,3.9038461538461537,2
E?Fg,5,3.9038461538461537,2
EIGW,5,3.9411764705882355,3
E?Sw,5,4,3
EGEW,5,4,3
EGCw,5,4,3
E@N?,5,4,3
E?Dw,5,4,3
E?Kw,5,4.069767441860465,3
E?\o,6,3.8666666666666667,2
E?No,6,3.9523809523809526,2
E?lo,6,3.9523809523809526,2
ECXo,6,3.9523809523809526,2
E@hW,6,3.9523809523809526,2
EoSo,6,3.975609756097561,2
EAN_,6,4.025,3
EGSw,6,4.052631578947368,3
E?NW,6,4.081081081081081,3
E@po,6,4.081081081081081,3
E?Fw,6,4.081081081081081,3
E@ow,6,4.081081081081081,3
ECSw,6,4.081081081081081,3
EGEw,6,4.081081081081081,3
EGcw,6,4.081081081081081,3
E@LW,6,4.147058823529412,3
E?Lw,6,4.147058823529412,3
EGDw,6,4.147058823529412,3
E_Kw,6,4.147058823529412,3
EwCW,6,4.147058823529412,3
E@Kw,6,4.423076923076923,4
EC\o,7,3.9714285714285715,2
E?^o,7,3.9714285714285715,2
E`dg,7,4,2
E_lo,7,4.09375,3
EKSw,7,4.133333333333334,3
EELg,7,4.133333333333334,3
E@ro,7,4.133333333333334,3
EANg,7,4.133333333333334,3
EIKw,7,4.137931034482759,3
EoSw,7,4.172413793103448,3
E@pw,7,4.222222222222222,3
E`LW,7,4.222222222222222,3
E@lo,7,4.222222222222222,3
E`ow,7,4.222222222222222,3
E@NW,7,4.222222222222222,3
E_Lw,7,4.222222222222222,3
EGFw,7,4.222222222222222,3
E?lw,7,4.222222222222222,3
EAMw,7,4.222222222222222,3
E?Nw,7,4.222222222222222,3
EALw,7,4.28,3
E?\w,7,4.28,3
E`Kw,7,4.476190476190476,4
E@Lw,7,4.476190476190476,4
E?~o,8,3.966666666666667,2
ES\o,8,4,2
E@vo,8,4.16,3
ED^_,8,4.208333333333333,3
EiKw,8,4.217391304347826,3
E@^o,8,4.217391304347826,3
EIMw,8,4.217391304347826,3
EPVW,8,4.2727272727272725,3
ETXW,8,4.2727272727272725,3
E_lw,8,4.2727272727272725,3
EDZW,8,4.2727272727272725,3
EILw,8,4.3,3
E`lo,8,4.333333333333333,3
EAlw,8,4.35,3
EPTw,8,4.35,3
E@rw,8,4.35,3
E`NW,8,4.35,3
EC\w,8,4.35,3
EANw,8,4.35,3
E?^w,8,4.35,3
E@lw,8,4.529411764705882,4
E`Lw,8,4.529411764705882,4
E@Nw,8,4.529411764705882,4
E@\w,8,4.5625,4
Es\o,9,4,2
E@~o,9,4.2,3
EBzo,9,4.2631578947368425,3
E{Sw,9,4.333333333333333,3
E`^o,9,4.352941176470588,3
EHuw,9,4.352941176470588,3
EImw,9,4.352941176470588,3
EINw,9,4.375,3
EBxw,9,4.375,3
EqLw,9,4.4375,3
EElw,9,4.466666666666667,3
EQlw,9,4.466666666666667,3
EDZw,9,4.466666666666667,3
EC^w,9,4.466666666666667,3
E?~w,9,4.466666666666667,3
E`lw,9,4.571428571428571,4
E@^w,9,4.615384615384615,4
ED\w,9,4.615384615384615,4
E`Nw,9,4.615384615384615,4
E`\w,9,4.615384615384615,4
EB\w,9,4.7272727272727275,4
Es\w,10,4.333333333333333,3
E`~o,10,4.357142857142857,3
EFxw,10,4.357142857142857,3
Eqlw,10,4.461538461538462,3
EMlw,10,4.5,3
EBzw,10,4.5,3
EqNw,10,4.636363636363637,4
Ed\w,10,4.636363636363637,4
E@~w,10,4.7,4
ET\w,10,4.7,4
E`^w,10,4.7,4
ED^w,10,4.7,4
EJ]w,10,4.777777777777778,4
EB^w,10,4.777777777777778,4
EJ\w,10,5.166666666666667,5
EFzw,11,4.5,3
ER~o,11,4.5,3
Et\w,11,4.666666666666667,4
Er\w,11,4.75,4
Ed^w,11,4.75,4
E`~w,11,4.857142857142857,4
ER^w,11,4.857142857142857,4
EB~w,11,4.857142857142857,4
EJ^w,11,5.2,5
E}lw,12,4.5,3
Er^w,12,4.833333333333333,4
ER~w,12,5,4
EF~w,12,5,4
EJ~w,12,5.25,5
Er~w,13,5,4
EN~w,13,5.333333333333333,5
E^~w,14,5.5,5
E~~w,15,6,6
